S-reflector time-depth,S-reflector amplitude,S-reflector frequency,Gouge Thickness,Basement Thickness,Basement Proportion,S Distance from seafloor,Water Thickness,Water Proportion,Sediment Thickness,Sediment Proportion,Below Velocity - Mantle (m/s),Above Velocity - Basement (m/s)
-9439.76,1233.45,19.99,43.08,0,0,2440.72,6999.04,0.741442579,2397.64,0.253993746,6233.412014,5535.79645
-9439.76,1233.45,19.99,43.08,0,0,2440.72,6999.04,0.741442579,2397.64,0.253993746,6234.494435,5536.825456
-9451.11,-1091.47,22.59,43.08,0.42,4.44392E-05,2452.14,6998.97,0.740544761,2408.64,0.254852605,6251.276401,5537.326799
-9451.11,-1091.47,22.59,43.08,0.42,4.44392E-05,2452.14,6998.97,0.740544761,2408.64,0.254852605,6236.144772,5521.302187
-9462.55,806.12,22.49,43.08,28.98,0.003062599,2463.47,6999.08,0.739661085,2391.41,0.252723632,6210.591886,5478.07679
-9462.55,806.12,22.49,43.08,28.98,0.003062599,2463.47,6999.08,0.739661085,2391.41,0.252723632,6225.846319,5494.656565
-9474.11,-317.67,18.07,43.14,46.6,0.004918668,2474.89,6999.22,0.738773352,2385.15,0.251754518,6377.496846,5683.301253
-9474.11,-317.67,18.07,43.14,46.6,0.004918668,2474.89,6999.22,0.738773352,2385.15,0.251754518,6368.248122,5670.117226
-9485.7,-934.1,14.23,43.38,67.39,0.007104378,2486.65,6999.05,0.737852768,2375.88,0.250469654,6416.850228,5754.934222
-9485.7,-934.1,14.23,43.38,67.39,0.007104378,2486.65,6999.05,0.737852768,2375.88,0.250469654,6397.138518,5723.88953
-9497.2,-11.43,6.25,43.81,87.89,0.009254307,2498.4,6998.8,0.736932991,2366.7,0.249199764,6462.504254,5854.980432
-9497.2,-11.43,6.25,43.81,87.89,0.009254307,2498.4,6998.8,0.736932991,2366.7,0.249199764,6460.010946,5850.900676
-9508.58,-108.41,22.73,44.38,118.76,0.012489772,2509.98,6998.6,0.736029986,2346.84,0.246812878,6490.298809,5936.996955
-9508.58,-108.41,22.73,44.38,118.76,0.012489772,2509.98,6998.6,0.736029986,2346.84,0.246812878,6460.543006,5886.32274
-9520.29,-615,19.51,44.87,146.78,0.015417598,2521.57,6998.72,0.73513727,2329.92,0.244732041,6507.807022,6006.312687
-9520.29,-615,19.51,44.87,146.78,0.015417598,2521.57,6998.72,0.73513727,2329.92,0.244732041,6505.332326,6002.453955
-9532.81,588.08,15.03,44.45,172.5,0.018095399,2533.62,6999.19,0.734221074,2316.67,0.243020683,6515.118344,6061.492732
-9532.81,588.08,15.03,44.45,172.5,0.018095399,2533.62,6999.19,0.734221074,2316.67,0.243020683,6526.577613,6079.062212
